Symbol;Description;Exchange
AA.P;Alcoa Inc Pf 3.75;AMEX
AADR;BNY Mellon Focused Growth ADR ETF;AMEX
AAU;Almaden Minerals;AMEX
ABCS;ABC High Dividend Guggenheim;AMEX
ABI;Safety First Trust;AMEX
ACCU;Global Opportunities ETF Accuvest;AMEX
ACIM;SPDR MSCI ACWI IMI;AMEX
ACU;Acme United Corporation.;AMEX
ACWV;All Country World Min Vol MSCI Ishares;AMEX
ACY;Aerocentury;AMEX
ADGE;American Dg Energy Inc.;AMEX
ADK;Adcare Health Systems Inc;AMEX
ADZ;DB Agriculture Short ETN Powershares;AMEX
AE;Adams Resources & Energy;AMEX
AFK;Africa Index ETF Market Vectors;AMEX
